season,variable,week,metric,model,n_init,point,ci_lo,ci_hi
jfm,tp,3,rmse,ecmwf,90,1.916439124406749,1.6624330883170424,2.173079592930055
jfm,tp,3,rmse,fuxi,90,1.9471024072795506,1.6971280971275644,2.201633595789317
jfm,tp,3,rmse,mme,90,1.7960725174132512,1.5680534379209856,2.026620904360679
jfm,tp,3,rmse,ncep,90,2.1512503196118993,1.8528738606740487,2.4555808724817574
jfm,tp,3,rmse,spire,90,1.6809444795173012,1.4903336006103312,1.8774458260571212
jfm,tp,3,rmse,ukmo,90,2.159628609633641,1.9440327977314937,2.3745217795238487
jfm,tp,4,rmse,ecmwf,90,2.139058244314098,1.8789820950819462,2.4171328325703265
jfm,tp,4,rmse,fuxi,90,2.0775236108583375,1.8127771061155171,2.3579364103668707
jfm,tp,4,rmse,mme,90,1.9355267262508264,1.6941638515351218,2.194095642837682
jfm,tp,4,rmse,ncep,90,2.2875556580571375,1.9911797066842718,2.602283788287927
jfm,tp,4,rmse,spire,90,1.8779824840706103,1.6617156357266591,2.1061448898885837
jfm,tp,4,rmse,ukmo,90,2.139086277485841,1.9306976614151765,2.361590269580626
jfm,tp,5,rmse,ecmwf,90,2.399237977500568,2.122389060955409,2.687829165557241
jfm,tp,5,rmse,fuxi,90,2.3409555921591823,2.063094269661193,2.6340829907350534
jfm,tp,5,rmse,mme,90,2.1826109662224793,1.9293272321585495,2.4477191093060515
jfm,tp,5,rmse,ncep,90,2.493694904967163,2.1986888979708206,2.798422047351521
jfm,tp,5,rmse,spire,90,2.1436708464756475,1.9071115213170589,2.389866256099306
jfm,tp,5,rmse,ukmo,90,2.3610496141445503,2.142038499135844,2.5907518052027974
jfm,tp,6,rmse,ecmwf,90,2.574279686331935,2.304759057912118,2.8526374298148647
jfm,tp,6,rmse,fuxi,90,2.466056588810511,2.1926396584530283,2.7442635824656656
jfm,tp,6,rmse,mme,90,2.3500384999835067,2.1044099454265406,2.6019903876487707
jfm,tp,6,rmse,ncep,90,2.74738974362926,2.468882333409583,3.028027091895052
jfm,tp,6,rmse,spire,90,2.2806478429708275,2.053580509261092,2.5177822311178413
jfm,tp,6,rmse,ukmo,90,2.5557636114085196,2.322214694554972,2.797996616192299
jfm,tp,1,bias,ecmwf,90,-0.15061748961065927,-0.21399618363986403,-0.08844860994292948
jfm,tp,1,bias,fuxi,90,-0.14434600995671296,-0.2147201491130619,-0.07474855091753549
jfm,tp,1,bias,mme,90,-0.09624460731503158,-0.15471216708689847,-0.03961113033419414
jfm,tp,1,bias,ncep,90,-0.19418911363128627,-0.2752846687350858,-0.1131718322530377
jfm,tp,1,bias,spire,90,-0.04061250919046219,-0.10959685711856501,0.025114609791763977
jfm,tp,1,bias,ukmo,90,0.04854208581396283,-0.008213636828075094,0.10696273308239268
jfm,tp,2,bias,ecmwf,90,-0.11170242557457236,-0.19841520731991663,-0.028014046949538744
jfm,tp,2,bias,fuxi,90,-0.015244619814017205,-0.1353703366731476,0.10869269515299272
jfm,tp,2,bias,mme,90,0.015457719584537252,-0.06740964027635564,0.09391425972040923
jfm,tp,2,bias,ncep,90,-0.09378305197756269,-0.2068194012746132,0.013264845847714223
jfm,tp,2,bias,spire,90,0.10399102529707743,0.01724146468092862,0.1872960428203657
jfm,tp,2,bias,ukmo,90,0.19402766999176085,0.10138768168461354,0.2860750059835684
jfm,tp,3,bias,ecmwf,90,-0.16145029449227727,-0.30336300060151905,-0.028574096083807923
jfm,tp,3,bias,fuxi,90,-0.14742922235822004,-0.2802103088216208,-0.02005358891212519
jfm,tp,3,bias,mme,90,-0.02743629322226375,-0.15779183374801176,0.09585172209130566
jfm,tp,3,bias,ncep,90,-0.16538738274285372,-0.31006220010132796,-0.027380478394689645
jfm,tp,3,bias,spire,90,0.11742592068775941,-0.013188664167707377,0.23960219107320507
jfm,tp,3,bias,ukmo,90,0.21965951279427268,0.06698448294220608,0.3770848040511845
