method,season,year,region,week,n_cases,region_target_cells,acc_fisher_z_mean_erpas,acc_fisher_z_mean_fuxi_s2s,acc_mean_erpas,acc_mean_fuxi_s2s,acc_mean_fuxi_minus_erpas,acc_fisher_fuxi_minus_erpas
common_imd_1991_2020,JFM,2023,south_peninsula,4,13,38,0.1792950163125997,0.612159081324668,0.1515983406412046,0.5002059918096258,0.3486076511684212,0.4328640650120683
common_imd_1991_2020,JFM,2024,central_india,1,13,64,0.5682886097713987,0.6561102529224098,0.43936358300797607,0.5852255842772691,0.14586200126929305,0.08782164315101104
common_imd_1991_2020,JFM,2024,central_india,2,13,64,0.5280338265381664,0.19977292023276283,0.3684984345533377,0.18353162949581925,-0.18496680505751845,-0.3282609063054036
common_imd_1991_2020,JFM,2024,central_india,3,13,64,0.42461896376202035,0.35597073655722616,0.34249721898708185,0.18946464965754042,-0.15303256932954143,-0.06864822720479419
common_imd_1991_2020,JFM,2024,central_india,4,13,64,0.3464592211941191,0.46712677069364594,0.2481360457334986,0.34941183261662007,0.10127578688312147,0.12066754949952685
common_imd_1991_2020,JFM,2024,east_northeast_india,1,13,36,0.4231182473124644,0.46493487854712723,0.37313979574641376,0.4146951467997565,0.04155535105334274,0.04181663123466284
common_imd_1991_2020,JFM,2024,east_northeast_india,2,13,36,0.2491423416915291,0.17203948034047684,0.21604496262139475,0.14301440451755626,-0.07303055810383849,-0.07710286135105227
common_imd_1991_2020,JFM,2024,east_northeast_india,3,13,36,0.12985933299858854,0.04191778802671465,0.11193270185523677,0.04143398954095424,-0.07049871231428254,-0.0879415449718739
common_imd_1991_2020,JFM,2024,east_northeast_india,4,13,36,-0.05050858540278782,0.10350051477466271,-0.04741069562407833,0.09029054491165638,0.1377012405357347,0.15400910017745054
common_imd_1991_2020,JFM,2024,northwest_india,1,13,68,0.7877312460816782,0.8523039971099202,0.5421599778476518,0.5700049702568252,0.027844992409173375,0.064572751028242
common_imd_1991_2020,JFM,2024,northwest_india,2,13,68,0.606787693582996,0.6250225392576678,0.4123468108023752,0.4615653861998738,0.04921857539749863,0.018234845674671818
common_imd_1991_2020,JFM,2024,northwest_india,3,13,68,0.07809461755266144,0.04735315451256222,0.060480667019656036,0.032543649582203,-0.027937017437453034,-0.030741463040099212
common_imd_1991_2020,JFM,2024,northwest_india,4,13,68,-0.09005188000430053,0.218252968815356,-0.09048246055965935,0.21007437078669444,0.3005568313463538,0.30830484881965653
common_imd_1991_2020,JFM,2024,south_peninsula,1,13,38,0.6885562210901877,0.8527670050998785,0.627811011431795,0.7534015488031739,0.12559053737137893,0.1642107840096908
common_imd_1991_2020,JFM,2024,south_peninsula,2,13,38,0.4488670844410533,0.7133164700501547,0.37055207940740675,0.4980742554080181,0.12752217600061133,0.2644493856091015
common_imd_1991_2020,JFM,2024,south_peninsula,3,13,38,0.40307543837290843,0.7248284562300477,0.3510638449911523,0.627861013982441,0.2767971689912887,0.3217530178571392
common_imd_1991_2020,JFM,2024,south_peninsula,4,13,38,0.2619286542737623,0.7550607534420071,0.24535364640635088,0.6933354895242828,0.44798184311793193,0.4931320991682448
common_imd_1991_2020,JFM,ALL,central_india,1,26,64,0.8925346199136641,0.8984893876757027,0.5320866038834929,0.6926161125799849,0.16052950869649196,0.005954767762038626
common_imd_1991_2020,JFM,ALL,central_india,2,26,64,0.7714470154188511,0.7478351356929015,0.42803077656000643,0.37521167035768027,-0.05281910620232616,-0.02361187972594958
common_imd_1991_2020,JFM,ALL,central_india,3,26,64,0.6468961826604415,0.6210574123208599,0.3694342933553686,0.35276392298393755,-0.016670370371431042,-0.025838770339581596
common_imd_1991_2020,JFM,ALL,central_india,4,26,64,0.5388086281765729,0.5821686910607368,0.32776051114702826,0.4043581476722688,0.07659763652524054,0.04336006288416383
common_imd_1991_2020,JFM,ALL,east_northeast_india,1,26,36,0.4897283111379664,0.46668264868454606,0.3640927102329152,0.38759533350622594,0.023502623273310763,-0.023045662453420324
common_imd_1991_2020,JFM,ALL,east_northeast_india,2,26,36,0.2658686646258586,0.20244647306530464,0.20187112335462892,0.16824208053856193,-0.03362904281606699,-0.06342219156055398
common_imd_1991_2020,JFM,ALL,east_northeast_india,3,26,36,0.13868703886823047,0.03637741665670864,0.10398377874538155,0.04181776003339306,-0.062166018711988486,-0.10230962221152183
